imdb_id,label
114709,0100000000000000000000011000
113497,0000000000010010000000001000
113228,0000000000000000010000010000
114885,0000000100000000010000010000
113041,0000000000010000010000010000
113277,0000000110000010000000000000
114319,0000000100000000000000010000
112302,0000000100000000000000011000
114576,0000100010000010000000000000
113189,0000100000000010000000001000
112346,0000000100000000010000010000
112896,0001000000000000000000010100
112453,0100000100000000000000001000
113987,0000010100001000000000000000
112760,0000000000000010000000011000
112641,0000000110000000000000000000
114388,0000000100000000010000000000
113101,0000000000000000000000010000
112281,0000000010000000000000011000
113845,0000000010000010000000010000
113161,0000100010000000000000010000
112722,0000001110000000000000000000
112401,0000100010000010000000000000
114168,0001001100000000000000000000
113627,0000000100000000010000000000
114057,0000000100000000010000000000
114011,0000000100000000010000010000
114117,0000000100000000000000000000
112682,0001000000100000000000000000
115012,0000000110000000010000000000
112792,0000000100001000000000000000
114746,0000101000100000000000000000
114952,0000000000000000010000001000
112431,0000000100010000000000010000
112637,0000000100001000010000000000
112818,0000000110000000000000000000
112286,0000000100010000000000001000
113442,0000000000010000010000010000
112697,0000000000000000010000010000
112749,0000100100000000000000000000
114279,1000000100000000000000000000
112819,0000000110000010000000000000
114272,0000010100001000000000000000
113855,0001000000000010000000001000
114681,0000000110000000000000010000
113347,0000000100000000010000010000
114369,0000001110000000000000000000
114148,0100000100000000000000001000
114916,0000000100000000010000000000
114814,0000001110000000000000000000
109950,0000100100000010000000000000
113819,0001000000000000010000010000
110299,0000000100000000000000000000
112499,0000000000010000000000110000
113158,0000000100000000000000000001
113541,0000000000010000000000011000
113321,0000000100000000010000010000
110877,0000000100001000000000010000
112714,0000101100000000000000000000
113419,0001000100010000000000000000
116260,0000100110000000000000000000
113862,0000000100000000000000000001
116126,0000000010000000000000010000
118002,0000000010000000010000010000
115683,0000000000000000000000010000
116839,0000100000100010000000000000
114753,0000000100000000000000000000
113149,0000000000000000000000010000
113118,0000000100000000000000010000
116367,0000000010000010000000000100
113010,0000000010000010010000000000
113537,0000000100000000010000010000
113828,0000010100000000000000000000
115644,0000000100000000010000000000
115676,0000100000000000000000010000
114367,0000100000100000000000000000
113973,0000000001001000000000000001
112744,0000100100000000000000000000
116731,0000100100000000000000000000
112445,0000000100010000000000000000
114660,0000000110000000000000000000
112379,0000000100000000000000010000
114039,0000000100000000010000000000
113612,0000000100000000000000010000
112365,0000000100000000010000000000
118158,0000000100000000000000001000
116151,0000000000010000000000011000
115697,0000000000000000000000010000
113972,0000000110000010000000000000
113490,0000000100000000000000000000
117002,0000000100000000010000000100
114825,0001000000000000000000010100
115639,0000000100000000010000010000
115759,0000100010000010000000000000
113403,0000000000000000000000010000
113247,0000000110000000000000000000
111173,0000000110000010000000000000
113283,0000000001001000000000000000
115907,0000000100000000000000000000
115734,0000000110000000000000010000
117102,0000000000000000000000010000
118040,0000001100100000000000000000
116483,0000000000010000000000110000
112579,0000000100000000010000000000
110251,0000000100000000000000010000
117110,0000000000000010000000011000
112646,0000000001000000000000000000
113276,0000000110000000000000010000
112573,0000010100001000000000000000
75314,0000000110000000000000000000
113326,0000000010000010000000010000
115645,0000001110000000000000000000
113774,0000000100000000000000000000
112556,0000000000000000000000010000
112373,1000000001001000000000000000
115033,0000000110000000000000000000
116606,0000000000000000010000010000
114536,0000000000000000000000010000
117427,0000000100000000000000011000
106473,0000000100000000000000000000
103859,0000000100000000010000010000
109424,0000000100000000010000010000
114808,0000000100000000010000000000
116324,0000000000000000000000010000
110647,0000000000010000000000011000
111055,0000000100000000000000000000
110217,0000001001001000000000000000
114131,0000000000000000010000010000
112364,0000000100000000000000000000
113107,1000000100000000010000000000
113451,0000100110000000000000000000
114015,0000000100000000000000010000
114500,0000000001000000000000000000
116130,0000000000000000000000010000
113125,0000000001001000000000000000
113756,0000000000000000010000010000
113952,0000000100000000000000000000
114618,0000000100000000000000000000
118055,0000000100000000010000000000
115685,0000000000000000000000010000
94878,0000000100000000000000000000
113200,0000000100000000000000000000
112585,0000000100000000010000010000
112442,0000000010000010000000010000
112342,0000000100010000000000001000
112461,0000000110001000000000000000
112427,0000000100000000010000010000
109093,0000000110000000000000010000
112384,0000010100000000000000001000
114287,0000010000001000000000001000
112288,0000000000000000000000000100
112462,0001000000000010000000001000
61395,0000000100000000000000000000
112495,0000000100000010000000000000
112541,0000000000000000000000010000
109370,0000000000000000000000010000
112642,0001000000010000000000010000
112688,0000001110000000000000000000
112715,0000001000000010000000001000
112740,0000100100000010000000000000
109508,0000000001001000000000010000
112851,0000100000000010000000000000
112857,0000001110000000000000000000
112864,0000100000000010000000001000
112887,0000000010000010000000010000
113044,0000001110000000000000000000
113071,0000000000000010010000001000
113114,0000000100010000000000001000
113243,0000000110000000000000010000
113464,0000000100000000000000010000
113481,0000000010100010000000000000
113492,0000000010100010000000000000
113500,0000000000000000000000010000
113540,0000000100000000000000000000
113677,0000000100000000000000010000
113690,0000101000000000000000000100
107447,0000000100000000000000010000
113729,0000000100000000010000000000
113749,0000000000000000010000010000
113820,0000000000010010000000001000
113851,0000000100000000010000010000
110604,0000100000000000000000000100
110620,0000000100000000000000000100
113957,0000000110000010000000000000
113986,0000000000000000010000010000
114095,0000000000000000000000010000
114194,0000000110000010000000000000
114241,0001000100000000000000010000
114323,0000000100000000000000000000
114345,0000000100000000010000000000
114435,0000000001000000000000000001
114436,0000000100000000000000000000
114478,0000000100000000000000010000
114496,0000000100000000010000010000
114508,0000000000100010000000000100
114534,0000000100000000000000000000
114558,0000000110000010000000000000
58450,0000000100000000010010000000
114666,0000100110000000000000000000
